Departure Point,Destination,Fixed Fare,Flight Season,From Day,From Month,From To,Product,Program,To Day,To Month,Transformed To Month,Unique Value
"PAR","GB-CAE","19169","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSGB-CAEPAR"
"TLS","US-SDC","19170","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-SDCTLS"
"NTE","US-SBA","19171","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPUS-SBANTE"
"TLS","US-CHS","19172","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-CHSTLS"
"LYS","GB-LON","19173","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-LONLYS"
"PAR","US-LAR","19174","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-LARPAR"
"GVA","JP-TYO","19175","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSJP-TYOGVA"
"LYS","US-SDO","19176","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SDOLYS"
"PAR","US-MIA","19177","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-MIAPAR"
"FRA","US-NYT","19178","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-NYTFRA"
"TLS","AU-SYD","19179","LowSeason1","1.0","3.0","Mar-1 To Dec-31","LSP","ILSP","31.0","12.0","12.0","LSPILSPAU-SYDTLS"
"PAR","JP-TYO","19180","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPJP-TYOPAR"
"LYS","CA-VAN","19181","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPCA-VANLYS"
"PAR","MT-SLM","19182","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILSH","31.0","5.0","5.0","ILSILSHMT-SLMPAR"
"PAR","ES-MAD","19183","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPES-MADPAR"
"TLS","ZA-CAP","19184","LowSeason1","1.0","3.0","Mar-1 To Dec-31","ILS","ILS","31.0","12.0","12.0","ILSILSZA-CAPTLS"
"GVA","US-BOE","19185","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-BOEGVA"
"TLS","SG-SIM","19186","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPSG-SIMTLS"
"TLS","DE-MUN","19187","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSDE-MUNTLS"
"MRS","US-SBA","19188","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SBAMRS"
"MRS","IE-DUB","19189","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPIE-DUBMRS"
"BOD","US-CHI","19190","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-CHIBOD"
"MRS","GB-EAS","19191","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-EASMRS"
"LYS","GB-BST","19192","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYGB-BSTLYS"
"FRA","US-SDO","19193","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSUS-SDOFRA"
"PAR","JP-TYO","19194","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPJP-TYOPAR"
"NCE","US-CHS","19195","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-CHSNCE"
"FRA","CN-BEJ","19196","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPCN-BEJFRA"
"NCE","GB-EAS","19197","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-EASNCE"
"MRS","US-SDC","19198","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPUS-SDCMRS"
"NCE","US-SDC","19199","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-SDCNCE"
"MRS","GB-MAN","19200","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYGB-MANMRS"
"FRA","US-WAS","19201","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-WASFRA"
"PAR","US-WAS","19202","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-WASPAR"
"GVA","US-MIA","19203","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPUS-MIAGVA"
"PAR","DE-BER","19204","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYDE-BERPAR"
"PAR","MT-MSJ","19205","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSMT-MSJPAR"
"LYS","DE-MUN","19206","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYDE-MUNLYS"
"TLS","US-SFM","19207","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-SFMTLS"
"PAR","GB-OXF","19208","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-OXFPAR"
"FRA","US-BOI","19209","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-BOIFRA"
"BOD","GB-CAM","19210","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-CAMBOD"
"FRA","US-MIA","19211","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-MIAFRA"
"FRA","CA-TOO","19212","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPCA-TOOFRA"
"LYS","GB-BOU","19213","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-BOULYS"
"PAR","ES-MAA","19214","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPES-MAAPAR"
"MRS","AU-SYD","19215","HighSeason1","1.0","1.0","Jan-1 To Feb-28","LSP","AYP","28.0","2.0","2.0","LSPAYPAU-SYDMRS"
"LYS","US-NYC","19216","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-NYCLYS"
"LYS","IE-DUB","19217","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPIE-DUBLYS"
"FRA","CA-TOO","19218","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPCA-TOOFRA"
"GVA","US-SFM","19219","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILSH","14.0","1.0","13.0","ILSILSHUS-SFMGVA"
"BOD","GB-CAC","19220","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-CACBOD"
"NCE","CA-TOO","19221","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYCA-TOONCE"
"PAR","IT-ROM","19222","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPIT-ROMPAR"
"NCE","US-MIA","19223","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-MIANCE"
"PAR","DE-BER","19224","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPDE-BERPAR"
"PAR","US-SBA","19225","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SBAPAR"
"FRA","US-LAR","19226","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPUS-LARFRA"
"BOD","US-SDC","19227","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SDCBOD"
"NCE","GB-BOU","19228","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSGB-BOUNCE"
"TLS","GB-CAM","19229","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSGB-CAMTLS"
"PAR","US-SDC","19230","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SDCPAR"
"PAR","DE-BER","19231","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSDE-BERPAR"
"BOD","GB-CAM","19232","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYGB-CAMBOD"
"PAR","AU-SYD","19233","LowSeason1","1.0","3.0","Mar-1 To Dec-31","ILS","ILS","31.0","12.0","12.0","ILSILSAU-SYDPAR"
"MRS","GB-MAS","19234","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPGB-MASMRS"
"NCE","GB-BOU","19235","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-BOUNCE"
"GVA","GB-CAE","19236","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-CAEGVA"
"FRA","US-MIA","19237","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-MIAFRA"
"LYS","US-NYC","19238","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPUS-NYCLYS"
"NCE","US-MIA","19239","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-MIANCE"
"NCE","US-SBA","19240","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SBANCE"
"NCE","CN-BEJ","19241","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPCN-BEJNCE"
"LYS","US-SBA","19242","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-SBALYS"
"GVA","US-CHS","19243","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-CHSGVA"
"MRS","GB-BST","19244","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPGB-BSTMRS"
"GVA","IE-DUB","19245","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPIE-DUBGVA"
"TLS","US-SDC","19246","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SDCTLS"
"MRS","GB-LRS","19247","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-LRSMRS"
"NCE","US-LAR","19248","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSUS-LARNCE"
"PAR","US-LAR","19249","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-LARPAR"
"PAR","US-SEA","19250","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-SEAPAR"
"LYS","GB-CAE","19251","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPGB-CAELYS"
"BOD","GB-CAC","19252","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSGB-CACBOD"
"GVA","GB-CAM","19253","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-CAMGVA"
"LYS","US-SDC","19254","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-SDCLYS"
"TLS","US-WAS","19255","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-WASTLS"
"TLS","US-SDC","19256","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPUS-SDCTLS"
"PAR","GB-BOU","19257","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSGB-BOUPAR"
"MRS","DE-BER","19258","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILSH","31.0","8.0","8.0","ILSILSHDE-BERMRS"
"FRA","NZ-AUC","19259","HighSeason1","1.0","1.0","Jan-1 To Feb-28","ILS","ILS","28.0","2.0","2.0","ILSILSNZ-AUCFRA"
"PAR","DE-MUN","19260","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSDE-MUNPAR"
"GVA","GB-LON","19261","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-LONGVA"
"GVA","GB-EAS","19262","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-EASGVA"
"GVA","US-SDO","19263","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPUS-SDOGVA"
"MRS","US-SDO","19264","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPUS-SDOMRS"
"PAR","US-HNL","19265","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-HNLPAR"
"NCE","US-LAR","19266","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-LARNCE"
"TLS","US-LAR","19267","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-LARTLS"
"LYS","CA-VAN","19268","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPCA-VANLYS"
"BOD","GB-CAE","19269","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPGB-CAEBOD"
"FRA","US-SFM","19270","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-SFMFRA"
"FRA","US-WAS","19271","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-WASFRA"
"FRA","ZA-CAP","19272","LowSeason1","1.0","3.0","Mar-1 To Dec-31","ILS","ILS","31.0","12.0","12.0","ILSILSZA-CAPFRA"
"NCE","JP-TYO","19273","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSJP-TYONCE"
"MRS","GB-BOU","19274","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-BOUMRS"
"PAR","GB-MAN","19275","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSGB-MANPAR"
"NCE","CA-TOO","19276","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYCA-TOONCE"
"MRS","CA-TOO","19277","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPCA-TOOMRS"
"BOD","US-BOI","19278","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-BOIBOD"
"TLS","CN-BEJ","19279","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPCN-BEJTLS"
"NCE","US-SDC","19280","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILSH","11.0","12.0","12.0","ILSILSHUS-SDCNCE"
"GVA","GB-LON","19281","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-LONGVA"
"TLS","GB-BST","19282","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYGB-BSTTLS"
"MRS","GB-BRI","19283","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPGB-BRIMRS"
"LYS","GB-OXF","19284","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPGB-OXFLYS"
"TLS","US-MIA","19285","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPUS-MIATLS"
"NCE","US-SDC","19286","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-SDCNCE"
"PAR","US-WAS","19287","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-WASPAR"
"PAR","US-BOI","19288","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-BOIPAR"
"PAR","GB-EAS","19289","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-EASPAR"
"TLS","GB-CAC","19290","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSGB-CACTLS"
"NCE","DE-MUN","19291","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPDE-MUNNCE"
"FRA","US-LAR","19292","HighSeason2","12.0","12.0","Dec-12 To Jan-14","ILS","ILS","14.0","1.0","13.0","ILSILSUS-LARFRA"
"PAR","US-SFM","19293","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYUS-SFMPAR"
"FRA","US-SFD","19294","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SFDFRA"
"TLS","US-WAS","19295","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","ILSP","11.0","12.0","12.0","LSPILSPUS-WASTLS"
"BOD","GB-CAC","19296","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPGB-CACBOD"
"PAR","US-NYT","19297","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-NYTPAR"
"NCE","DE-BER","19298","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILSH","11.0","12.0","12.0","ILSILSHDE-BERNCE"
"PAR","CA-TOO","19299","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSCA-TOOPAR"
"PAR","ES-MAD","19300","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPES-MADPAR"
"TLS","GB-OXF","19301","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSGB-OXFTLS"
"NCE","JP-TYO","19302","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPJP-TYONCE"
"TLS","IE-DUB","19303","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPIE-DUBTLS"
"TLS","US-SDO","19304","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","ILSP","31.0","8.0","8.0","LSPILSPUS-SDOTLS"
"FRA","US-SDC","19305","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SDCFRA"
"LYS","GB-MAN","19306","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYGB-MANLYS"
"LYS","GB-CAM","19307","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPGB-CAMLYS"
"FRA","JP-TYO","19308","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYJP-TYOFRA"
